"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-e41a7d3dc752f0b4","indeed","https://www.indeed.com/viewjob?jk=e41a7d3dc752f0b4","https://careers.cognizant.com/global-en/jobs/00069077431/senior-java-backend-developer-pythonkafka/","Senior Java Backend Developer (Python/Kafka)","Cognizant","MO, US","2026-05-27","fulltime","direct_data","yearly",64000.0,94500.0,"USD",False,"","","","","Cognizant’s Digital Engineering practice is seeking a highly qualified Senior Java Backend Developer with 5\\+ years experience developing and building high\\-performing, scalable, enterprise applications. You will be part of a digital software team that works on high\\-demand applications. Our engineers have a passion for high\\-quality, reliable and maintainable code. You will work side by side with product managers, designers, and clients, making decisions together to quickly deliver valuable working software to clients and their users. Our engineers are agile and retrospective, and not afraid to identify what we’re doing wrong, so we can fix it, and what we’re doing right, so we can improve on it. Above all, we judge success by the success of our team and the happiness of our customers.
  
Cognizant Digital Engineering If you’re like us, you’ve got big ideas. At Cognizant, we’re exploring new ideas every day. We help industry leading companies reinvent their business models and innovate products that create new value—by connecting people with things, insights and experiences. Cognizant digital engineering designs, engineers and delivers digital products and experiences that drive digital\\-first business models. We offer the most comprehensive digital engineering expertise and client\\-centric methodology for sustainable innovation.
  
**Location:** Saint Louis, MO (Onsite)
  
You must be legally authorized to work in the USA without the need for employer sponsorship, now or at any time in the future
  
  

**Roles/Responsibilities:**  

* Participate in designing and enhancing application architecture using Java 11, Spring MVC, and Microservices .
* Handle the complete software development lifecycle including requirements gathering, development, testing, and deployment.
* Offer expertise and troubleshooting support for SQL Server, Kafka, and ETL processes .
* Build and maintain RESTful APIs and use Python for scripting and automation tasks.
* Monitor system health, resolve issues, and ensure performance, scalability, and adherence to quality standards.


**Required Qualifications:**  

* Proficiency in Java 11, Spring MVC, and Microservices architecture
* Hands\\-on experience with SQL Server, Kafka, and ETL processes .
* Experience in developing and managing RESTful web services and system integrations .
* Working knowledge of Python for automation and scripting.
* Experience in Asset \\& Wealth Management domain with strong problem\\-solving and troubleshooting skills.


**Salary and Other Compensation:**  

Applications will be accepted until June 27, 2026\\.
  
The annual salary for this position is between $ 64,000\\- $ 94,500 depending on experience and other qualifications of the successful candidate.
  
This position is also eligible for Cognizant’s discretionary annual incentive program, based on performance and subject to the terms of Cognizant’s applicable plans.
  
**Benefits:** Cognizant offers the following benefits for this position, subject to applicable eligibility requirements:
  
Medical/Dental/Vision/Life Insurance
  
Paid holidays plus Paid Time Off
  
401(k) plan and contributions
  
Long\\-term/Short\\-term Disability
  
Paid Parental Leave
  
Employee Stock Purchase Plan
  
**Disclaimer:** The salary, other compensation, and benefits information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law
  
Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.","","https://www.indeed.com/cmp/Cognizant-f7abe767","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3bd95f13d06ef8241426506395a8cad3","https://www.cognizant.com/","","10,000+","more than $10B (USD)","We help companies modernise technology, reimagine processes and transform experiences so they can thrive in a world that never stops evolving.","","","","","",""
"in-9b064cff680ceabc","indeed","https://www.indeed.com/viewjob?jk=9b064cff680ceabc","https://jsv3.recruitics.com/redirect?rx_cid=3284&rx_jobId=2612914&rx_url=https%3A%2F%2Fjobs.saic.com%2Fjobs%2F17780145-java-backend-developer-senior%3Fbid%3D336%26rx_a%3D0%26rx_c%3D%26rx_ch%3Djobp4p%26rx_group%3D116479%26rx_id%3D103730d3-5964-11f1-bf96-e9b0d9b81bdf%26rx_job%3D2612914%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3Dindeed%26rx_ts%3D20260528T160402Z%26rx_vp%3Dcpc%26tm_company%3D2520%26tm_event%3Dview%26tm_job%3D2612914","Java Backend Developer Senior","SAIC","Ashburn, VA, US","2026-05-26","fulltime","","","","","",True,"","","","","Job ID: 2612914

**Location:** Ashburn, VA, US

**Date Posted:** 2026\\-05\\-26

**Category:** Software

**Subcategory:** SW Engineer

**Schedule:** Full\\-Time

**Shift:** Day Job

**Travel:** No

**Minimum Clearance Required:** None

**Clearance Level Must Be Able to Obtain:** Public Trust

**Potential for Remote Work:** ORA\\_ON\\_SITE

 **Description**


SAIC is currently seeking a motivated, career and customer\\-oriented **Backend Developer (Senior)** to join our team to begin an exciting and challenging career in Ashburn, VA.


**This position requires on\\-site work in Ashburn, VA 5 days per week for the first year of employment.**


**Job Responsibilities**


* Working closely with the tech lead and senior developers, the Mid\\-Level Java Developer will participate in the system architecture design, systems engineering, development, integration testing and validation, and all aspects of the software life\\-cycle (requirements to design to implementation to test) for a java backend application involving extensive messaging and transaction processing.
* Design and implement Micro Service Architecture for Cloud based software applications.
* Use modern software engineering tools including Eclipse, Jira, and Atlassian Suites for design, development, and testing the software.
* Present the solution at formal and informal design reviews, and document the design according to the Government’s system lifecycle methodology.


**Qualifications**


**Required Skills and Experience**

* Bachelor's degree in computer science or related engineering field with 9\\+ years of technical experience.
* 9\\+ years of strong Java design and software development experience including designing, developing, and documenting large\\-scale enterprise software systems.
* **Extensive use of Java hands\\-on on most recent Job role (such as SW Developer or SW Engineer) or in the last 5 years.**
* **Effective Proficiency usage and Development with JavaEE, Spring, and Springboot relative to Microservices.**
* **Usage of JavaEE supported technology stacks in platforms, such as EKS, Docker, Kubernetes, or AWS, or WebLogic.**
* **Demonstrates capability for Operational Support and Analysis of Delivered Applications to resolve real\\-time issues.**
* **Demonstrates capability to modify and share code seamlessly via tools such as Maven and Artifactory while communicating its changes effectively to group members for rapid application rollouts.**
* Ability to diagnose problems and support production systems.
* Experience working with Applications on Cloud utilizing serverless hosted services like AWS S3, DynanoDB, lambda etc.
* Java Micro Service Architecture frameworks such as Spring Boot.
* Experience with container platforms like Docker and Kubernetes.
* SQL DBs (preferably Oracle) and strong SQL/JDBC skills is required for this position.
* Experience with NoSQL DBs like MongoDB, Document DB, Cassandra etc.
* Messaging and Streaming Systems (Kafka, SQS ans Kinesis.)
* XML/JSON.
* Unix/Linux.
* Experince with JPA/Hibernate.
* Experience with building RESTful webservices and experience with query language based APIs like GraphQL.
* Jenkins, Maven, Gitlab and Jira for CI/CD.
* Demonstrated expertise in software engineering practices (e.g., reading/generating software specs, design patterns, continuous integration.)
* Demonstrated ability to incorporate rigorous Unit testing as part of development activities is essential.

**Desired Skills and Experience**

* First\\-hand experience working with large project teams (working with the Federal Government a strong plus.)
* **Proficient in applying core Java programming skills and using popular 3rd\\-party libraries to interpret data mappings and organize information for processing large\\-scale datasets across various representation formats such as relational databases, NoSQL Databases, XML, JSON, and raw flat files.**
* **Used Java for enterprise applications development involving real time operations.**
* **Proven Java custom framework development for supporting data processing, especially with extremely high\\-volume Transactional usage.**
* **Usage of real time analysis tools such as Dynatrace to diagnose issues and maintain situational awareness of issues.**
* **Usage of CI/CD tools such as Harness.**
* Demonstrated ability to think critically and creatively to develop innovative solutions to software problems.
* Ability to develop and maintain components with stringent performance requirements.
* Agile development experience a plus.
* Master’s degree in Computer Science or related field is a plus.

**Customer Requirements**

* Clearance – Ability to obtain and hold a public trust position and favorable suitability based on a CBP Background Investigation.
* Citizenship – Must be a US Citizen.
* Location – Required to be on\\-site in Ashburn, VA 5 days per week for the first year of employment. All candidates must be within the GWA/commutable area.","","https://www.indeed.com/cmp/SAIC","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b8dd7df9105af77bbaff6c3c6624e9f8","http://www.saic.com","Reston, VA","10,000+","$5B to $10B (USD)","SAIC® is a mission integrator focused on advancing the power of technology and innovation. Headquartered in Reston, Virginia, the company has approximately 23,000 employees.","","","","","",""
